,drugName,condition,rating,usefulCount,eff_score,usefulness
6550,Fluconazole,Vaginal Yeast Infection,5,6,0,0
6551,Liraglutide,Weight Loss,8,23,1,184
6552,Sertraline,Postpartum Depression,8,11,1,88
6553,Topiramate,Migraine Prevention,1,10,0,0
6554,Methadone,Chronic Pain,9,23,1,207
6555,Percocet,Pain,8,50,1,400
6556,Lifitegrast,Dry Eye Disease,1,14,0,0
6557,Relpax,Migraine,10,13,1,130
6558,Xanax,Anxiety,10,37,1,370
6559,Dulaglutide,"Diabetes, Type 2",5,18,0,0
6560,Vagifem,Atrophic Vaginitis,8,28,1,224
6561,Ketorolac,Pain,8,27,1,216
6562,Acetylcysteine,Expectoration,10,3,1,30
6563,Dymista,Allergic Rhinitis,3,9,0,0
6564,Buspirone,Anxiety,8,4,1,32
6565,Lexapro,2</span> users found this comment helpful.,7,2,1,14
6566,Nora-Be,Birth Control,1,10,0,0
6567,Fluvoxamine,Obsessive Compulsive Disorde,10,32,1,320
6568,Levonorgestrel,Birth Control,5,4,0,0
6570,Bupropion,Depression,8,102,1,816
6571,Duloxetine,Bipolar Disorde,9,25,1,225
6572,Dulcolax,Constipation,1,11,0,0
6573,VESIcare,Overactive Bladde,7,37,1,259
6574,Hydrochlorothiazide / triamterene,Not Listed / Othe,9,20,1,180
6575,Granulex,Dermatologic Lesion,10,1,1,10
6576,Strattera,ADHD,6,26,1,156
6577,Sertraline,Panic Disorde,2,27,0,0
6578,Quetiapine,Insomnia,8,0,1,0
6579,Alprazolam,Anxiety,3,3,0,0
6580,Orsythia,Birth Control,3,4,0,0
6581,Acetaminophen / codeine,Pain,1,10,0,0
6582,Bupropion,Depression,9,45,1,405
6583,Blisovi Fe 1 / 20,Birth Control,1,2,0,0
6584,Linzess,Irritable Bowel Syndrome,10,27,1,270
6585,Zoloft,Depression,7,38,1,266
6586,Varenicline,Smoking Cessation,3,17,0,0
6587,Chantix,Smoking Cessation,10,27,1,270
6588,Sertraline,Generalized Anxiety Disorde,2,14,0,0
6589,Estrace Vaginal Cream,Atrophic Vaginitis,8,49,1,392
6590,Dilantin,Anxiety,10,45,1,450
6591,Viibryd,Depression,9,22,1,198
6592,Nuvigil,Narcolepsy,8,27,1,216
6593,Ethinyl estradiol / levonorgestrel,Birth Control,9,1,1,9
6594,Gabapentin,Bipolar Disorde,1,46,0,0
6595,Abilify,Depression,10,119,1,1190
6596,Suboxone,Opiate Dependence,10,41,1,410
6597,Nuvigil,Shift Work Sleep Disorde,8,16,1,128
6598,Desvenlafaxine,Major Depressive Disorde,10,51,1,510
6599,Tri-Sprintec,Birth Control,7,4,1,28
6600,Hydroxyzine,Anxiety,7,32,1,224
6601,Arthrotec,Osteoarthritis,10,116,1,1160
6603,Eletriptan,Migraine,10,8,1,80
6604,Varenicline,Smoking Cessation,8,11,1,88
6605,Estradiol,Atrophic Urethritis,10,72,1,720
6606,Depo-Provera,Abnormal Uterine Bleeding,1,23,0,0
6607,Verapamil,Cluster Headaches,10,31,1,310
6608,Dulcolax Laxative,Constipation,1,4,0,0
6609,Seconal Sodium,Insomnia,10,48,1,480
6610,Dapagliflozin,"Diabetes, Type 2",7,12,1,84
6611,Hydroquinone,Dermatological Disorders,9,73,1,657
6613,Lipitor,High Cholesterol,4,158,0,0
6615,Acetaminophen / tramadol,Pain,8,49,1,392
6616,Desvenlafaxine,Depression,1,9,0,0
6617,ParaGard,Birth Control,8,11,1,88
6618,Milnacipran,ibromyalgia,5,22,0,0
6619,OnabotulinumtoxinA,Migraine Prevention,9,24,1,216
6620,Valium,Anxiety,10,113,1,1130
6622,Minocycline,Acne,1,4,0,0
6623,Ethinyl estradiol / norethindrone,Birth Control,3,2,0,0
6624,Adapalene / benzoyl peroxide,Acne,10,34,1,340
6625,Klonopin,Anxiety,7,76,1,532
6626,Lorcaserin,Weight Loss,10,102,1,1020
6627,Salicylic acid,Acne,1,0,0,0
6628,Phentermine,Weight Loss,10,35,1,350
6629,Trulance,Chronic Idiopathic Constipation,9,31,1,279
6630,Lunesta,Insomnia,7,22,1,154
6631,Junel Fe 1 / 20,Birth Control,10,33,1,330
6632,Avanafil,Erectile Dysfunction,1,21,0,0
6633,Terbinafine,Tinea Cruris,1,11,0,0
6634,Vilazodone,Anxiety,4,13,0,0
6635,Ethinyl estradiol / levonorgestrel,Birth Control,3,36,0,0
6637,Lo Loestrin Fe,Birth Control,8,5,1,40
6638,Geodon,Bipolar Disorde,1,11,0,0
6639,Trazodone,Sedation,10,25,1,250
6640,Tretinoin,Acne,7,26,1,182
6641,Duloxetine,Anxiety,4,7,0,0
6642,Contrave,Weight Loss,6,11,1,66
6644,Quetiapine,Depression,8,17,1,136
6645,Nucynta,Pain,1,19,0,0
6646,Varenicline,Smoking Cessation,9,33,1,297
6649,Rizatriptan,Migraine,10,14,1,140
6650,Zoloft,Obsessive Compulsive Disorde,10,95,1,950
6651,Buprenorphine,Opiate Dependence,9,10,1,90
6652,Amphetamine / dextroamphetamine,ADHD,10,10,1,100
6654,Chateal,Birth Control,2,2,0,0
6655,Hydromorphone,Chronic Pain,10,25,1,250
6656,Bupropion / naltrexone,Weight Loss,1,7,0,0
6657,Nitrofurantoin,Urinary Tract Infection,1,20,0,0
6658,Ventolin HFA,"Asthma, Maintenance",9,10,1,90
6660,Dulcolax,Constipation,8,6,1,48
6661,Paroxetine,Anxiety and Stress,9,72,1,648
6662,Nitrofurantoin,Bladder Infection,10,37,1,370
6663,Levonorgestrel,Birth Control,1,2,0,0
6664,Glatiramer,Multiple Sclerosis,7,40,1,280
6665,Opana,Pain,9,29,1,261
6666,Ziprasidone,Bipolar Disorde,1,23,0,0
6667,Aluminum chloride hexahydrate,Hyperhidrosis,10,7,1,70
6668,Plan B One-Step,Emergency Contraception,10,25,1,250
6669,Bupropion,Depression,9,43,1,387
6670,Testosterone,"Hypogonadism, Male",8,7,1,56
6671,Viibryd,Depression,5,24,0,0
6672,Levonorgestrel,Emergency Contraception,1,3,0,0
6673,Naproxen,Pain,8,16,1,128
6674,Risperdal,Autism,10,143,1,1430
6675,Lasix,33</span> users found this comment helpful.,5,33,0,0
6676,Sprintec,Birth Control,9,6,1,54
6677,Aftera,Emergency Contraception,10,5,1,50
6678,Quetiapine,Insomnia,8,36,1,288
6679,Azithromycin Dose Pack,Bronchitis,10,15,1,150
6680,Levomilnacipran,Depression,5,51,0,0
6681,Pseudoephedrine,Nasal Congestion,9,8,1,72
6682,Clonazepam,Burning Mouth Syndrome,1,5,0,0
6683,Hydroxyzine,Anxiety,5,34,0,0
6684,Vortioxetine,Depression,4,27,0,0
6685,Trulicity,"Diabetes, Type 2",8,7,1,56
6686,Bupropion / naltrexone,Obesity,9,34,1,306
6687,Fluorouracil,Keratosis,10,132,1,1320
6688,TriNessa,3</span> users found this comment helpful.,10,3,1,30
6689,Acetaminophen / aspirin / caffeine,Migraine,10,18,1,180
6690,Nefazodone,Depression,10,10,1,100
6691,Zyprexa,Bipolar Disorde,8,47,1,376
6692,Lamotrigine,Bipolar Disorde,10,23,1,230
6694,Medroxyprogesterone,Amenorrhea,5,13,0,0
6695,Veltin,Acne,10,33,1,330
6696,Humira,"Crohn's Disease, Maintenance",2,5,0,0
6697,Lisdexamfetamine,ADHD,10,9,1,90
6698,Cobicistat / elvitegravir / emtricitabine / tenofovir,HIV Infection,10,31,1,310
6699,Jolessa,Endometriosis,5,3,0,0
6700,Acetaminophen / butalbital / caffeine,Headache,10,22,1,220
6701,Ethinyl estradiol / levonorgestrel,Abnormal Uterine Bleeding,9,16,1,144
6702,Nasacort Allergy 24HR,Allergic Rhinitis,10,0,1,0
6703,Evolocumab,High Cholesterol,1,60,0,0
6704,Zoloft,Depression,3,10,0,0
6705,Reglan,Nausea/Vomiting,8,27,1,216
6706,Atorvastatin,High Cholesterol,8,135,1,1080
6707,Viibryd,Depression,1,32,0,0
6708,Neurontin,Periodic Limb Movement Disorde,8,104,1,832
6709,Gabapentin,Anxiety,9,89,1,801
6710,Harvoni,Hepatitis C,10,62,1,620
6711,Risperdal,Bipolar Disorde,4,3,0,0
6712,Ethinyl estradiol / levonorgestrel,Birth Control,10,26,1,260
6713,Taltz,Plaque Psoriasis,10,34,1,340
6714,Imitrex,Migraine,1,31,0,0
6715,Dexamethasone,Inflammatory Conditions,1,16,0,0
6716,Isosorbide mononitrate,Angina Pectoris Prophylaxis,8,5,1,40
6717,Escitalopram,Depression,2,19,0,0
6718,Orsythia,Birth Control,6,1,1,6
6719,Stalevo,Parkinson's Disease,9,15,1,135
6720,Wellbutrin,Depression,5,54,0,0
6721,Eszopiclone,Insomnia,5,23,0,0
6722,Librium,Alcohol Withdrawal,10,53,1,530
6723,Pristiq,Major Depressive Disorde,1,11,0,0
6724,Loestrin 24 Fe,Birth Control,2,14,0,0
6725,Miconazole,Vaginal Yeast Infection,10,3,1,30
6727,Cetirizine,Allergic Rhinitis,10,23,1,230
6728,Ciprofloxacin,Urinary Tract Infection,2,28,0,0
6729,Interferon beta-1b,Multiple Sclerosis,7,24,1,168
6730,Dextroamphetamine,Hypersomnia,9,14,1,126
6731,Lodine,Osteoarthritis,10,40,1,400
6733,Mirena,Abnormal Uterine Bleeding,4,19,0,0
6734,Duac,Acne,10,6,1,60
6735,Keppra,Epilepsy,8,71,1,568
6736,Celecoxib,Pain,10,62,1,620
6737,Duloxetine,Depression,1,40,0,0
6738,Dimenhydrinate,Motion Sickness,10,61,1,610
6739,Doxycycline,Bacterial Infection,9,20,1,180
6740,Prednisone,Asthma,8,4,1,32
6741,Levofloxacin,Pneumonia,1,9,0,0
6742,Ethinyl estradiol / levonorgestrel,Birth Control,6,5,1,30
6743,Daytrana,ADHD,8,3,1,24
6744,Hydroxyzine,Anxiety,3,7,0,0
6745,Nexplanon,Birth Control,6,9,1,54
6746,Miconazole,Vaginal Yeast Infection,1,11,0,0
6747,Scopolamine,Nausea/Vomiting,3,7,0,0
6748,Magnesium sulfate / potassium sulfate / sodium sulfate,Bowel Preparation,9,21,1,189
6749,Lithium,Bipolar Disorde,3,7,0,0
6750,Strattera,ADHD,8,40,1,320
6751,Norethindrone,Birth Control,10,27,1,270
6752,Sertraline,Generalized Anxiety Disorde,10,36,1,360
6753,Levonorgestrel,Abnormal Uterine Bleeding,1,11,0,0
6756,Mirena,Birth Control,10,2,1,20
6757,Lo Loestrin Fe,Birth Control,1,0,0,0
6758,Dicyclomine,Irritable Bowel Syndrome,10,9,1,90
6759,Propranolol,Mitral Valve Prolapse,9,12,1,108
6760,Ethinyl estradiol / norgestimate,Abnormal Uterine Bleeding,1,1,0,0
6761,Diltiazem,High Blood Pressure,9,84,1,756
6762,Ethinyl estradiol / etonogestrel,Birth Control,6,3,1,18
6763,Medroxyprogesterone,Birth Control,10,5,1,50
6764,Tofranil,Depression,2,5,0,0
6765,Mirena,Birth Control,9,23,1,207
6766,Nexium,GERD,9,76,1,684
6767,Phentermine,Weight Loss,10,113,1,1130
6768,Claravis,Acne,8,27,1,216
6769,Mobic,Osteoarthritis,8,79,1,632
6770,Seroquel,Schizophrenia,8,28,1,224
6771,Mibelas 24 Fe,Birth Control,1,3,0,0
6772,Lisdexamfetamine,ADHD,10,11,1,110
6773,Doxycycline,Acne,5,15,0,0
6774,Dicyclomine,Irritable Bowel Syndrome,9,45,1,405
6775,Magnesium citrate,Constipation,9,27,1,243
6777,Miconazole,Vaginal Yeast Infection,3,0,0,0
6779,Alendronate,Prevention of Osteoporosis,1,36,0,0
6780,Tramadol,Pain,10,20,1,200
6781,Citalopram,Premenstrual Dysphoric Disorde,10,25,1,250
6782,Amnesteem,Acne,4,5,0,0
6783,Amoxicillin / clarithromycin / lansoprazole,Helicobacter Pylori Infection,9,12,1,108
6786,Ethinyl estradiol / norethindrone,Abnormal Uterine Bleeding,9,0,1,0
6787,Ethinyl estradiol / norgestimate,Birth Control,5,7,0,0
6788,Spiriva,"COPD, Maintenance",9,135,1,1215
6789,Rosuvastatin,High Cholesterol,10,42,1,420
6790,Microgestin Fe 1 / 20,Birth Control,9,18,1,162
6791,Paxil,Anxiety and Stress,9,72,1,648
6792,Quetiapine,Bipolar Disorde,10,42,1,420
6793,Effexor XR,Anxiety,9,30,1,270
6794,Bupropion / naltrexone,Obesity,10,48,1,480
6795,Botox,Migraine Prevention,10,38,1,380
6796,Chantix,Smoking Cessation,10,31,1,310
6797,Lurasidone,Bipolar Disorde,10,46,1,460
6799,Suvorexant,Insomnia,10,30,1,300
6800,Chlorhexidine,Gingivitis,10,73,1,730
6801,Levonorgestrel,Birth Control,10,9,1,90
6802,Rifaximin,Irritable Bowel Syndrome,10,71,1,710
6803,Topiramate,ibromyalgia,6,12,1,72
6804,Duloxetine,Anxiety,9,70,1,630
6806,Etonogestrel,Birth Control,5,27,0,0
6807,Adalimumab,Ankylosing Spondylitis,10,61,1,610
6808,Zantac 150,GERD,10,0,1,0
6809,Acetaminophen / oxycodone,Chronic Pain,2,12,0,0
6810,Methylprednisolone,Not Listed / Othe,10,18,1,180
6811,Zepatier,Hepatitis C,9,8,1,72
6812,Hydromorphone,Pain,8,5,1,40
6813,Implanon,Birth Control,9,12,1,108
6814,Sertraline,Generalized Anxiety Disorde,9,60,1,540
6815,Treximet,Migraine,9,9,1,81
6816,Aluminum chloride hexahydrate,Hyperhidrosis,10,3,1,30
6817,Adderall,ADHD,9,22,1,198
6818,Paroxetine,Depression,7,84,1,588
6819,Camrese,Birth Control,2,4,0,0
6820,Guanfacine,ADHD,1,1,0,0
6821,Lamictal,Bipolar Disorde,9,149,1,1341
6822,Modafinil,Depression,10,32,1,320
6823,Varenicline,Smoking Cessation,10,41,1,410
6824,Brexpiprazole,Schizophrenia,1,16,0,0
6825,Fluorouracil,Skin Cance,9,68,1,612
6827,Vardenafil,Erectile Dysfunction,9,57,1,513
6828,Sodium oxybate,Narcolepsy,10,29,1,290
6829,Estradiol Patch,Postmenopausal Symptoms,10,23,1,230
6831,Ocella,Birth Control,9,8,1,72
6832,Acetaminophen / oxycodone,Pain,9,4,1,36
6833,Infliximab,Ulcerative Colitis,10,56,1,560
6834,Tri-Sprintec,Acne,5,3,0,0
6835,Contrave,Obesity,1,9,0,0
6836,Hydrochlorothiazide,High Blood Pressure,7,26,1,182
6837,Lexapro,Anxiety,10,63,1,630
6838,Bupropion,ADHD,10,12,1,120
6839,Medroxyprogesterone,Abnormal Uterine Bleeding,3,35,0,0
6840,Venlafaxine,ibromyalgia,8,20,1,160
6841,Ethinyl estradiol / levonorgestrel,Birth Control,1,7,0,0
6842,Pregabalin,Generalized Anxiety Disorde,6,88,1,528
6844,Retin-A,Acne,9,38,1,342
6845,Nexplanon,Birth Control,1,10,0,0
6846,Febuxostat,Gout,10,42,1,420
6847,Orthovisc,Osteoarthritis,8,108,1,864
6848,Levonorgestrel,Abnormal Uterine Bleeding,1,7,0,0
6849,Divalproex sodium,Migraine Prevention,8,0,1,0
6850,Afrin,Nasal Congestion,8,1,1,8
6851,Levothyroxine,"Hypothyroidism, After Thyroid Removal",2,98,0,0
6852,Liraglutide,Obesity,10,29,1,290
6854,Adalimumab,Rheumatoid Arthritis,10,41,1,410
6855,Fluoxetine,Premenstrual Dysphoric Disorde,7,21,1,147
6856,Buprenorphine / naloxone,Opiate Dependence,1,16,0,0
6857,Azelastine / fluticasone,Allergic Rhinitis,1,6,0,0
6858,Sumatriptan,Migraine,9,8,1,72
6859,Arimidex,Breast Cance,10,103,1,1030
6860,Yaz,Acne,6,15,1,90
6861,Seroquel XR,Major Depressive Disorde,2,11,0,0
6862,Imuran,Eczema,9,58,1,522
6863,Lorazepam,Anxiety,1,35,0,0
6864,Acetaminophen / oxycodone,Pain,10,19,1,190
6865,Erlotinib,Non-Small Cell Lung Cance,7,54,1,378
6866,NuvaRing,Birth Control,6,0,1,0
6867,Drospirenone / ethinyl estradiol,Birth Control,9,10,1,90
6868,Magnesium sulfate / potassium sulfate / sodium sulfate,Bowel Preparation,4,6,0,0
6869,Lactaid Ultra,Lactose Intolerance,5,9,0,0
6871,Montelukast,Bronchospasm Prophylaxis,8,34,1,272
6872,Kadian,Pain,9,29,1,261
6873,Adapalene / benzoyl peroxide,Acne,10,31,1,310
6874,Clonazepam,Panic Disorde,9,22,1,198
6875,Oseltamivir,Influenza,1,4,0,0
6876,Gabapentin,Restless Legs Syndrome,10,22,1,220
6878,Xarelto,Pulmonary Embolism,1,8,0,0
6879,Thyroid desiccated,Underactive Thyroid,7,44,1,308
6880,Ethinyl estradiol / norethindrone,Not Listed / Othe,10,0,1,0
6881,Serax,Anxiety,10,97,1,970
6883,Etonogestrel,Birth Control,7,12,1,84
6884,Methadone,Chronic Pain,10,53,1,530
6885,Strattera,ADHD,1,16,0,0
6886,Escitalopram,Anxiety,8,13,1,104
6887,Diclofenac,Pain,8,43,1,344
6888,Linaclotide,Irritable Bowel Syndrome,5,24,0,0
6890,Latuda,Bipolar Disorde,6,26,1,156
6891,Chateal,Birth Control,1,2,0,0
6892,Venlafaxine,Depression,9,36,1,324
6893,Nucynta,Pain,1,55,0,0
6894,Pramipexole,Restless Legs Syndrome,10,82,1,820
6895,Ondansetron,Nausea/Vomiting,5,3,0,0
6896,Zoloft,Depression,9,5,1,45
6897,Bismuth subsalicylate,Diarrhea,10,22,1,220
6898,Mobic,Osteoarthritis,9,94,1,846
6899,Zarah,Birth Control,4,6,0,0
6900,Ranitidine,GERD,8,29,1,232
6901,Lansoprazole,Stomach Ulce,10,9,1,90
6902,Yaz,Birth Control,5,3,0,0
6903,Dulcolax,Constipation,10,4,1,40
6904,Saxenda,Weight Loss,10,5,1,50
6906,Phentermine,Weight Loss,9,21,1,189
6907,Varenicline,Smoking Cessation,10,15,1,150
6908,Wellbutrin XL,Major Depressive Disorde,6,59,1,354
6909,Plan B One-Step,Emergency Contraception,5,2,0,0
6910,Phentermine,Weight Loss,9,118,1,1062
6911,Humira,"Crohn's Disease, Maintenance",4,15,0,0
6912,Ziana,Acne,10,17,1,170
6913,TriNessa,Birth Control,10,2,1,20
6915,Gildess Fe 1 / 20,Birth Control,2,10,0,0
6916,Tioconazole,Vaginal Yeast Infection,9,2,1,18
6917,Implanon,Birth Control,7,5,1,35
6918,Ultram,Pain,10,25,1,250
6919,Citalopram,Depression,9,27,1,243
6920,Promethazine,Nausea/Vomiting,10,21,1,210
6921,Zolpidem,Insomnia,10,51,1,510
6922,Buspirone,Anxiety,10,215,1,2150
6923,Wellbutrin,Depression,9,291,1,2619
6924,Meloxicam,Tendonitis,10,76,1,760
6925,Vyvanse,ADHD,9,13,1,117
6926,Celexa,Depression,5,46,0,0
6927,Adapalene / benzoyl peroxide,Acne,8,10,1,80
6928,Desvenlafaxine,Major Depressive Disorde,10,23,1,230
6929,Sulfamethoxazole / trimethoprim,Prostatitis,1,7,0,0
6930,Linaclotide,"Constipation, Chronic",2,2,0,0
6931,Motrin,Rheumatoid Arthritis,10,12,1,120
6932,Atarax,Anxiety,1,38,0,0
6933,Etonogestrel,Birth Control,10,12,1,120
6934,Fexofenadine / pseudoephedrine,Allergic Rhinitis,7,2,1,14
6935,Sprintec,Birth Control,9,2,1,18
6936,Abilify,Depression,10,161,1,1610
6937,Bupropion,Depression,9,55,1,495
6938,Aluminum chloride hexahydrate,Hyperhidrosis,10,51,1,510
6939,Lithium,Bipolar Disorde,2,27,0,0
6940,Nucynta,Pain,1,68,0,0
6941,Asacol,"Ulcerative Colitis, Maintenance",8,39,1,312
6942,Byetta,"Diabetes, Type 2",4,27,0,0
6943,Senokot,Constipation,9,47,1,423
6944,Clonazepam,Anxiety,9,45,1,405
6946,Denosumab,Osteoporosis,1,91,0,0
6947,Norethindrone,Birth Control,5,23,0,0
6948,Sumatriptan,Migraine,9,14,1,126
6949,Marlissa,Birth Control,1,0,0,0
6950,Acetaminophen / codeine,Pain,7,33,1,231
6952,Benzoyl peroxide / clindamycin,Acne,9,21,1,189
6953,Quetiapine,Bipolar Disorde,10,7,1,70
6954,Premarin,Osteoporosis,10,19,1,190
6955,Levomilnacipran,Major Depressive Disorde,2,24,0,0
6956,Valacyclovir,Cold Sores,10,43,1,430
6957,Reglan,Gastroparesis,4,25,0,0
6958,Clindamycin,Bacterial Infection,7,31,1,217
6959,Nexplanon,Birth Control,10,3,1,30
6960,Methylphenidate,ADHD,9,36,1,324
6961,Strattera,ADHD,10,54,1,540
6962,Macrodantin,Prevention of Bladder infection,1,23,0,0
6963,Amitriptyline,Insomnia,1,18,0,0
6964,Acetaminophen / hydrocodone,Pain,10,5,1,50
6965,Levonorgestrel,Birth Control,10,123,1,1230
6966,Risedronate,Osteoporosis,9,12,1,108
6967,Ethinyl estradiol / norelgestromin,Birth Control,2,1,0,0
6968,Azithromycin,Chlamydia Infection,9,6,1,54
6969,Quetiapine,Bipolar Disorde,8,21,1,168
6970,Lexiscan,Diagnosis and Investigation,8,4,1,32
6971,Salonpas Pain Patch,Osteoarthritis,8,0,1,0
6974,Silodosin,Benign Prostatic Hyperplasia,4,1,0,0
6975,Ambien,Insomnia,3,36,0,0
6976,Sertraline,Panic Disorde,8,4,1,32
6977,TriNessa,Acne,10,23,1,230
6978,Depo-Provera,Birth Control,9,26,1,234
6979,Metronidazole,Bacterial Infection,7,8,1,56
6980,Cymbalta,Pain,8,32,1,256
6981,Ziprasidone,Autism,1,0,0,0
6982,Clonazepam,Anxiety,10,50,1,500
6983,Oxymetazoline,Nasal Congestion,1,5,0,0
6984,Clonidine,Tourette's Syndrome,9,39,1,351
6985,Trintellix,Depression,2,18,0,0
6986,Ledipasvir / sofosbuvir,Hepatitis C,3,15,0,0
6987,Vortioxetine,Major Depressive Disorde,9,39,1,351
6988,Minastrin 24 Fe,Birth Control,4,2,0,0
6989,Amphetamine / dextroamphetamine,Narcolepsy,9,60,1,540
6990,Implanon,Birth Control,9,1,1,9
6991,Adderall XR,ADHD,8,17,1,136
6992,Aluminum chloride hexahydrate,Hyperhidrosis,9,2,1,18
6993,Minastrin 24 Fe,Birth Control,1,4,0,0
6994,Rivastigmine,Alzheimer's Disease,10,11,1,110
6995,Clonazepam,Periodic Limb Movement Disorde,7,0,1,0
6996,Topiramate,Obesity,10,79,1,790
6997,Suprep Bowel Prep Kit,Bowel Preparation,1,1,0,0
6998,Telaprevir,Hepatitis C,6,2,1,12
6999,Implanon,Birth Control,1,3,0,0
7000,Simponi,Ankylosing Spondylitis,1,3,0,0
7001,Vilazodone,Depression,10,406,1,4060
7002,Trazodone,ibromyalgia,10,39,1,390
7003,Phentermine,Weight Loss,10,58,1,580
7004,Orencia,Rheumatoid Arthritis,10,71,1,710
7006,Adipex-P,Weight Loss,10,96,1,960
7008,Dimethyl fumarate,Multiple Sclerosis,10,31,1,310
7009,Dapsone,Acne,9,10,1,90
7010,Suprep Bowel Prep Kit,Bowel Preparation,9,33,1,297
7011,Tramadol,Back Pain,9,20,1,180
7012,Ethinyl estradiol / norgestimate,Abnormal Uterine Bleeding,5,23,0,0
7013,Lexapro,Generalized Anxiety Disorde,9,69,1,621
7014,Oxycodone,Chronic Pain,8,54,1,432
7015,Albuterol,"Asthma, Maintenance",1,2,0,0
7016,Ethinyl estradiol / norgestimate,Birth Control,6,1,1,6
7017,Venlafaxine,Major Depressive Disorde,1,12,0,0
7018,Ciprofloxacin,Kidney Infections,9,12,1,108
7019,Symbicort,"Asthma, Maintenance",8,38,1,304
7020,Saphris,Post Traumatic Stress Disorde,8,23,1,184
7021,Pristiq,Depression,9,103,1,927
7022,Trazodone,Insomnia,10,82,1,820
7023,Ethinyl estradiol / norethindrone,Birth Control,8,10,1,80
7024,Hydrochlorothiazide,High Blood Pressure,9,130,1,1170
7025,"Multivitamin, prenatal",Vitamin/Mineral Supplementation during Pregnancy/Lactation,10,5,1,50
7026,Chloral hydrate,Insomnia,10,18,1,180
7027,Venlafaxine,Depression,8,80,1,640
7028,Lorazepam,Anxiety,9,19,1,171
7029,Tegretol,Bipolar Disorde,5,7,0,0
7030,Amlodipine / olmesartan,High Blood Pressure,9,22,1,198
7031,Gabapentin,Postherpetic Neuralgia,10,68,1,680
7032,Olanzapine,Paranoid Disorde,10,38,1,380
7033,Zyprexa,Depression,10,100,1,1000
7034,Vilazodone,Major Depressive Disorde,10,23,1,230
7035,Tri-Sprintec,Acne,6,10,1,60
7036,Belviq,Weight Loss,1,17,0,0
7037,Liletta,Birth Control,6,1,1,6
7038,Ticagrelor,Acute Coronary Syndrome,10,2,1,20
7039,Ethinyl estradiol / norethindrone,Birth Control,8,0,1,0
7040,Levaquin,Sinusitis,8,21,1,168
7041,Premarin,Postmenopausal Symptoms,4,19,0,0
7042,Ethinyl estradiol / norethindrone,Abnormal Uterine Bleeding,9,5,1,45
7043,Diazepam,Anxiety,9,182,1,1638
7044,Adapalene / benzoyl peroxide,Acne,9,4,1,36
7045,Sprintec,Birth Control,10,44,1,440
7046,Clarithromycin,Tonsillitis/Pharyngitis,2,1,0,0
7047,Mirena,Birth Control,10,29,1,290
7048,Ethinyl estradiol / norethindrone,Postmenopausal Symptoms,9,28,1,252
7049,Abilify,Bipolar Disorde,6,13,1,78
7050,Bisacodyl,Bowel Preparation,10,10,1,100
7051,Oxcarbazepine,Bipolar Disorde,9,196,1,1764
7052,Abilify,Depression,9,45,1,405
7053,Eszopiclone,Insomnia,10,32,1,320
7054,Votrient,Soft Tissue Sarcoma,9,64,1,576
7055,Implanon,Birth Control,3,6,0,0
7056,Augmentin,Upper Respiratory Tract Infection,10,13,1,130
7057,Cyclophosphamide,Multiple Sclerosis,9,10,1,90
7058,Estarylla,Birth Control,1,5,0,0
7059,Elavil,Anxiety and Stress,7,93,1,651
7060,Zanaflex,Muscle Spasm,9,87,1,783
7061,Muse,Erectile Dysfunction,1,34,0,0
7062,Asenapine,Bipolar Disorde,9,37,1,333
7063,Generess Fe,Birth Control,9,7,1,63
7064,Qsymia,Obesity,9,30,1,270
7065,Wellbutrin XL,Depression,7,48,1,336
7066,Undecylenic acid,Tinea Pedis,1,1,0,0
7067,Diclofenac,Rheumatoid Arthritis,9,12,1,108
7068,Liletta,Birth Control,8,2,1,16
7070,Zolpidem,Insomnia,10,217,1,2170
7071,Doxycycline,Acne,9,13,1,117
7072,Ethinyl estradiol / etonogestrel,Birth Control,9,5,1,45
7073,Anastrozole,Breast Cance,3,24,0,0
7074,Alprazolam,Anxiety,10,7,1,70
7075,Concerta,ADHD,10,45,1,450
7076,Finasteride,Androgenetic Alopecia,1,19,0,0
7077,Amitriptyline,Cough,10,86,1,860
7078,Phentermine,Obesity,9,27,1,243
7079,Nuvigil,Shift Work Sleep Disorde,7,19,1,133
7080,Lo Loestrin Fe,Birth Control,10,40,1,400
7081,Bisacodyl,Constipation,5,11,0,0
7082,Amitriptyline,Pain,10,36,1,360
7083,Chantix,Smoking Cessation,9,6,1,54
7084,Oxymetazoline,Nasal Congestion,9,0,1,0
7085,Pristiq,Depression,10,89,1,890
7086,Alprazolam,Panic Disorde,10,39,1,390
7087,Dronabinol,Anorexia,1,5,0,0
7088,Nuvigil,Narcolepsy,9,24,1,216
7090,Blisovi 24 Fe,Birth Control,1,2,0,0
7091,Velivet,Birth Control,4,2,0,0
7092,Levocetirizine,Urticaria,10,33,1,330
7093,Oxycodone,Pain,9,56,1,504
7094,Levothyroxine,Underactive Thyroid,7,61,1,427
7095,Phentermine / topiramate,Obesity,10,85,1,850
7096,Tramadol,Back Pain,10,34,1,340
7097,Effexor,Depression,7,96,1,672
7098,Abacavir / dolutegravir / lamivudine,HIV Infection,9,15,1,135
7099,Moxifloxacin,Pneumonia,8,3,1,24
7100,Suvorexant,Insomnia,1,18,0,0
7101,Levonorgestrel,Abnormal Uterine Bleeding,10,54,1,540
7102,Kineret,Schnitzler Syndrome,10,5,1,50
7103,Hycodan,Cough,10,3,1,30
